prov_name,prov_code,<1986>sname,<1986>name,<1986>_code,<1987>sname,<1987>name,<1987>_code,<1988>sname,<1988>name,<1988>_code,<1989>sname,<1989>name,<1989>_code,<1990>sname,<1990>name,<1990>_code,<1991>sname,<1991>name,<1991>_code,<1992>sname,<1992>name,<1992>_code,<1993>sname,<1993>name,<1993>_code,<1994>sname,<1994>name,<1994>_code,<1995>sname,<1995>name,<1995>_code,<1996>sname,<1996>name,<1996>_code,<1997>sname,<1997>name,<1997>_code,<1998>sname,<1998>name,<1998>_code,<1999>sname,<1999>name,<1999>_code,<2000>sname,<2000>name,<2000>_code,<2001>sname,<2001>name,<2001>_code,<2002>sname,<2002>name,<2002>_code,<2003>sname,<2003>name,<2003>_code,<2004>sname,<2004>name,<2004>_code,<2005>sname,<2005>name,<2005>_code,<2006>sname,<2006>name,<2006>_code,<2007>sname,<2007>name,<2007>_code,<2008>sname,<2008>name,<2008>_code,<2009>sname,<2009>name,<2009>_code,<2010>sname,<2010>name,<2010>_code,<2011>sname,<2011>name,<2011>_code,<2012>sname,<2012>name,<2012>_code,<2013>sname,<2013>name,<2013>_code,<2014>sname,<2014>name,<2014>_code,<2015>sname,<2015>name,<2015>_code,<2016>sname,<2016>name,<2016>_code,<2017>sname,<2017>name,<2017>_code,<2018>sname,<2018>name,<2018>_code,<2019>sname,<2019>name,<2019>_code
上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000,上海,上海市,310000
江苏省,320000,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100,南京,南京市,320100
江苏省,320000,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200,无锡,无锡市,320200
江苏省,320000,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300,徐州,徐州市,320300
江苏省,320000,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400,常州,常州市,320400
江苏省,320000,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500,苏州,苏州市,320500
江苏省,320000,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600,南通,南通市,320600
江苏省,320000,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700,连云港,连云港市,320700
江苏省,320000,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800,淮阴,淮阴市,320800
江苏省,320000,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900,盐城,盐城市,320900
江苏省,320000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000,扬州,扬州市,321000
江苏省,320000,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100,镇江,镇江市,321100
江苏省,320000,泰州,泰州市,329001,泰州,泰州市,329001,泰州,泰州市,329001,泰州,泰州市,329001,泰州,泰州市,329001,泰州,泰州市,329001,泰州,泰州市,329001,泰州,泰州市,329001,泰州,泰州市,329001,泰州,扬州市,321000,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200,泰州,泰州市,321200
江苏省,320000,宿迁,淮阴市,320800,宿迁,宿迁市,329006,宿迁,宿迁市,329006,宿迁,宿迁市,329006,宿迁,宿迁市,329006,宿迁,宿迁市,329006,宿迁,宿迁市,329006,宿迁,宿迁市,329006,宿迁,宿迁市,329006,宿迁,淮阴市,320800,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300,宿迁,宿迁市,321300
浙江省,330000,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100,杭州,杭州市,330100
浙江省,330000,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200,宁波,宁波市,330200
浙江省,330000,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300,温州,温州市,330300
浙江省,330000,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400,嘉兴,嘉兴市,330400
浙江省,330000,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500,湖州,湖州市,330500
浙江省,330000,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600,绍兴,绍兴市,330600
